Date, Open, High, Low, Close
08/10/12, 1402.58, 1405.98, 1395.62, 1405.87
08/09/12, 1402.26, 1405.95, 1398.80, 1402.80
08/08/12, 1401.23, 1404.14, 1396.13, 1402.22
08/07/12, 1394.46, 1407.14, 1394.46, 1401.35
08/06/12, 1391.04, 1399.63, 1391.04, 1394.23
08/03/12, 1365.45, 1394.16, 1365.45, 1390.99
08/02/12, 1375.13, 1375.13, 1354.65, 1365.00
08/01/12, 1379.32, 1385.03, 1373.35, 1375.14
07/31/12, 1385.27, 1387.16, 1379.17, 1379.32
07/30/12, 1385.94, 1391.74, 1381.37, 1385.30
07/27/12, 1360.05, 1389.19, 1360.05, 1385.97
07/26/12, 1338.17, 1363.13, 1338.17, 1360.02
07/25/12, 1338.35, 1343.98, 1331.50, 1337.89
07/24/12, 1350.52, 1351.53, 1329.24, 1338.31
07/23/12, 1362.34, 1362.34, 1337.56, 1350.52
07/20/12, 1376.51, 1376.51, 1362.19, 1362.66
07/19/12, 1373.01, 1380.39, 1371.21, 1376.51
07/18/12, 1363.58, 1375.26, 1358.96, 1372.78
07/17/12, 1353.68, 1365.36, 1345.07, 1363.67
07/16/12, 1356.50, 1357.26, 1348.51, 1353.64
07/13/12, 1334.81, 1357.70, 1334.81, 1356.78
07/12/12, 1341.29, 1341.29, 1325.41, 1334.76
07/11/12, 1341.40, 1345.00, 1333.25, 1341.45
07/10/12, 1352.96, 1361.54, 1336.27, 1341.47
07/09/12, 1354.66, 1354.87, 1346.65, 1352.46
07/06/12, 1367.09, 1367.09, 1348.03, 1354.68
07/05/12, 1373.72, 1373.85, 1363.02, 1367.58
07/03/12, 1365.75, 1374.81, 1363.53, 1374.02
07/02/12, 1362.33, 1366.35, 1355.70, 1365.51
06/29/12, 1330.12, 1362.17, 1330.12, 1362.16
06/28/12, 1331.52, 1331.52, 1313.29, 1329.04
06/27/12, 1320.71, 1334.40, 1320.71, 1331.85
06/26/12, 1314.09, 1324.24, 1310.30, 1319.99
06/25/12, 1334.90, 1334.90, 1309.27, 1313.72
06/22/12, 1325.92, 1337.82, 1325.92, 1335.02
06/21/12, 1355.43, 1358.27, 1324.41, 1325.51
06/20/12, 1358.04, 1361.57, 1346.45, 1355.69
06/19/12, 1344.83, 1363.46, 1344.83, 1357.98
06/18/12, 1342.42, 1348.22, 1334.46, 1344.78
06/15/12, 1329.19, 1343.32, 1329.19, 1342.84
06/14/12, 1314.88, 1333.68, 1314.14, 1329.10
06/13/12, 1324.02, 1327.28, 1310.51, 1314.88
06/12/12, 1309.40, 1324.31, 1306.62, 1324.18
06/11/12, 1325.72, 1335.52, 1307.73, 1308.93
06/08/12, 1314.99, 1325.81, 1307.77, 1325.66
06/07/12, 1316.15, 1329.05, 1312.68, 1314.99
06/06/12, 1285.61, 1315.13, 1285.61, 1315.13
06/05/12, 1277.82, 1287.62, 1274.16, 1285.50
06/04/12, 1278.29, 1282.55, 1266.74, 1278.18
06/01/12, 1309.87, 1309.87, 1277.25, 1278.04
05/31/12, 1313.09, 1319.74, 1298.90, 1310.33
05/30/12, 1331.25, 1331.25, 1310.76, 1313.32
05/29/12, 1318.90, 1334.93, 1318.90, 1332.42
05/25/12, 1320.81, 1324.20, 1314.23, 1317.82
05/24/12, 1318.72, 1324.14, 1310.50, 1320.68
05/23/12, 1316.02, 1320.71, 1296.53, 1318.86
05/22/12, 1316.09, 1328.49, 1310.04, 1316.63
05/21/12, 1295.73, 1316.39, 1295.73, 1315.99
05/18/12, 1305.05, 1312.24, 1291.98, 1295.22
